ID,Scene / runtime,Duration,On-screen actors and layers,Motion / animation beats,Interaction / logic,Art frames required,Acceptance check
S00,Character lock,Before sprint,"Ganesh; Rat; Modak","Ganesh uses the approved crown, feather, yellow dhoti and gold jewellery. Rat is grey-brown, one-third Ganesh height, red-gold waistcoat and yellow scarf. Modak is a separate golden prop.","Lock a single scale, light direction and transparent background standard before any frames are made.","Ganesh idle x4; rat idle/sniff x4; modak idle x2","No shadow; no background; no cropped ear, crown, tail or feet; no style changes between clips."
S01,Rat roaming loop,0-15 seconds,"Rat only; no Ganesh; no modak","Walk; sniff left; pause; look up; walk right; tail flick. Use variable pauses so it feels alive.","Loop while no modak is discovered. Randomly choose one of three screen lanes and reverse before a desktop edge.","rat_roam_01 through rat_roam_08","Rat never teleports, clips into an edge or leaves a trail."
S02,Modak discovery,15-20 seconds,"Rat; modak separate","Rat notices modak; ears lift; head turn; two cautious steps; sniff; delighted smile.","Spawn modak 80-140 px ahead of rat, never underneath it. Rat must turn toward the prop before moving.","rat_notice_01-04; rat_approach_01-04; modak_idle_01-02","Exactly one modak; it remains a separate sprite with an uninterrupted path."
S03,Pick-up and decision,20-25 seconds,"Rat; modak separate then hand-attached","Rat reaches; cups modak; lifts it; looks both ways; tiny anticipation crouch.","At the grab frame parent modak to rat paw anchor. Set rat_has_modak=true and reveal the button: Take Modak from Rat.","rat_pickup_01-05; modak_pickup_01-03","No hand/prop merge before grab; modak remains visible after grab."
S04,Ganesh far-away notice,20-26 seconds,"Ganesh far layer; rat with modak far opposite","Ganesh starts small at the opposite side; sees the modak; head/eye turn; smile; points gently; prepares to run.","This starts once after the rat picks up the modak. It is not a duplicate Ganesh sprite: use a scale/depth variant or a small distant pose.","ganesh_far_idle_01-02; ganesh_far_notice_01-04","Clear large distance between actors; Ganesh looks at the modak, not directly at the rat."
S05,Player choice,At any time after S03,"Button UI; scene remains live","Rat fidgets with modak while waiting; Ganesh holds an alert ready pose at a distance.","Button label: Take Modak from Rat. Click starts chase. If untouched for 15 seconds, show gentle pulse only; do not auto-catch.","rat_hold_modak_01-04; ganesh_ready_01-03","Button does not cover either sprite and works once only."
S06,Chase warm-up,0-15 seconds after click,"Rat; Ganesh; modak","Rat runs with modak; Ganesh begins at a slower jog. Both are independent screen objects on separate movement paths.","Set chase_elapsed=0. Rat speed 85 px/s; Ganesh 68 px/s; maintain 180-300 px gap.","rat_run_modak_01-08; ganesh_run_01-08","No overlap; no merged sprites; movement uses real x/y positions rather than a baked combined image."
S07,Chase middle loop,15-95 seconds after click,"Rat; Ganesh; modak","Rat accelerates, glances back, takes one curved turn; Ganesh changes lane and gains slowly. Alternate left/right run cycles.","Every 6-10 seconds choose a safe turn before the edge. Rat 90-118 px/s; Ganesh 88-122 px/s. Keep 110 px minimum gap until final act.","rat_sprint_01-08 left/right; rat_glance_01-03; ganesh_sprint_01-08 left/right","Both sprites stay fully inside visible desktop bounds; modak follows paw anchor; no repeated identical turn sequence."
S08,Near-catch finale,95-112 seconds after click,"Rat; Ganesh; modak","Rat tires slightly; Ganesh closes gap; rat makes a final small hop; Ganesh reaches with open cupped hands.","Reduce rat speed to 74 px/s and let Ganesh gain. Pause both at least 24 px from screen edge before catch begins.","rat_tired_01-04; rat_hop_01-03; ganesh_reach_01-05","Do not catch tail or body abruptly. Rat and Ganesh remain separate until the hand-contact frame."
S09,Gentle catch,112-116 seconds after click,"Ganesh; Rat; modak","Ganesh kneels or sits; hands cup the rat safely; rat smiles; modak remains between paws.","Swap from free-moving rat to rat_in_hands pose only when overlap-safe hand anchors align. Stop chase timer and clear movement queues.","ganesh_catch_01-06; rat_caught_01-04; modak_hold_01-02","No body merge, clipped tail or duplicated modak. Catch can be cancelled cleanly if DeskPal is dragged."
S10,Share and ending,116-120 seconds after click,"Ganesh; Rat; modak","Ganesh offers the modak; both smile; rat takes a tiny bite; calm shared happy pose; return to idle.","Set scene_complete=true; hide button; unlock another roaming story after a cooldown.","ganesh_share_01-04; rat_share_01-04; modak_bite_01-03","Warm ending, one modak only, no food inside body, no persistent effect or shadow."
S11,Engineering safety,All states,"Independent Ganesh; independent rat; independent modak; optional UI","Use one finite-state controller: ROAM > DISCOVER > HOLD > READY > CHASE > CATCH > SHARE > IDLE. Each actor has its own animation clock and movement anchor.","Cancel to IDLE on drag, hide, app quit, low FPS or missing art. Never fall back to a different random photo; use approved idle pose.","Asset manifest with exact filename, size, anchor and facing direction","Every PNG decodes; transparent corners; no edge debris; test on light and dark wallpapers; test click, timeout, drag and restart."
